dataset,rel_path,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_hue,std_hue,hue_entropy,mean_saturation,mean_value,lab_L,lab_a,lab_b,colorfulness
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00012.jpg,219.0331573486328,213.0880126953125,215.79974365234375,52.109371185302734,57.206268310546875,52.49297332763672,0.36885011196136475,0.35138142108917236,-3.518775710697818,0.08655480295419693,0.8757802844047546,85.31234741210938,2.9064507484436035,-0.7105062007904053,20.599336624145508
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00013.jpg,198.19515991210938,191.58035278320312,192.4081573486328,66.01624298095703,72.4847183227539,70.1881332397461,0.37204819917678833,0.34652239084243774,-2.9451052641172804,0.12612034380435944,0.7928621172904968,77.11919403076172,3.025120258331299,0.4160047173500061,21.979534149169922
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00014.jpg,207.6109619140625,199.90943908691406,195.5102081298828,61.755882263183594,69.18354797363281,71.8028564453125,0.2612013816833496,0.3210255801677704,-4.484879480546825,0.12738004326820374,0.8213684558868408,80.2122573852539,2.444488525390625,3.4315783977508545,23.138193130493164
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00015.jpg,209.3966827392578,203.26275634765625,200.94004821777344,60.726402282714844,66.60417938232422,66.48204803466797,0.31729573011398315,0.3255999684333801,-3.498246467070654,0.11233406513929367,0.8332133293151855,81.40739440917969,2.174452304840088,2.005183219909668,21.671838760375977
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00016.jpg,216.3265380859375,209.89540100097656,212.4783172607422,53.11575698852539,58.7976188659668,53.4058837890625,0.37289556860923767,0.34577232599258423,-3.281495188771573,0.09382139146327972,0.865531325340271,84.18383026123047,3.1047306060791016,-0.5971585512161255,21.64968490600586
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00017.jpg,213.82525634765625,206.5880126953125,211.9221954345703,56.40192413330078,63.00238800048828,56.190277099609375,0.3969082236289978,0.3438793122768402,-3.3588920875306636,0.11078577488660812,0.8623549938201904,83.0576400756836,4.067773342132568,-1.929720163345337,25.06923484802246
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00018.jpg,213.83290100097656,208.19004821777344,215.76913452148438,55.23173522949219,60.410926818847656,50.05324935913086,0.4221550226211548,0.347051203250885,-3.4925668853969976,0.09051869809627533,0.8645657896995544,83.62359619140625,3.815977096557617,-3.3331665992736816,22.07147789001465
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00019.jpg,217.90689086914062,212.22703552246094,215.5982208251953,53.643306732177734,59.488033294677734,55.24844741821289,0.35193344950675964,0.34540969133377075,-3.498093076622731,0.08774147927761078,0.8728691339492798,84.95088958740234,2.975710153579712,-1.0263744592666626,20.879072189331055
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00020.jpg,219.75254821777344,215.3482208251953,219.97193908691406,51.01862716674805,55.56584930419922,52.48820877075195,0.411129891872406,0.3405988812446594,-3.6874033098894707,0.0734453797340393,0.8813176155090332,86.05419158935547,2.6324877738952637,-1.7651305198669434,17.951324462890625
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00021.jpg,212.8966827392578,205.45025634765625,207.0216827392578,58.00818634033203,65.06842803955078,64.89755249023438,0.3827045261859894,0.3789704144001007,-3.3946047095991037,0.0892491415143013,0.844627857208252,82.45511627197266,3.2463467121124268,0.2779431939125061,19.06935691833496
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00022.jpg,209.9158172607422,203.36224365234375,206.44387817382812,57.625091552734375,64.18350219726562,58.77969741821289,0.40737026929855347,0.3486737608909607,-2.3190702053343966,0.09808807820081711,0.8396207690238953,81.71385192871094,3.2804148197174072,-0.8302912712097168,20.4930362701416
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00023.jpg,207.551025390625,199.52296447753906,201.5369873046875,59.58271408081055,66.62901306152344,65.88410186767578,0.3529127538204193,0.3675200939178467,-3.943316459952457,0.10506569594144821,0.8278961777687073,80.35350799560547,3.618969440460205,0.10552974790334702,21.947050094604492
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00024.jpg,215.72576904296875,208.40943908691406,209.75128173828125,54.53173065185547,61.98466491699219,61.63640594482422,0.341498464345932,0.3472500145435333,-3.11153986869165,0.09527477622032166,0.8583483099937439,83.60657501220703,3.1605348587036133,0.3673662543296814,20.537628173828125
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00025.jpg,209.50128173828125,200.1466827392578,206.55740356445312,51.74683380126953,59.22595977783203,56.215232849121094,0.4414948523044586,0.3436974585056305,-2.5966171108018967,0.12157074362039566,0.8477941155433655,81.05070495605469,4.971704483032227,-2.0278074741363525,27.140527725219727
Batik_Lasem,motifs (isen-isen)/Gunung Ringgit/28x28_images/GunungRinggit_00026.jpg,210.1543426513672,205.35203552246094,208.9706573486328,51.63868713378906,55.59888458251953,52.19623565673828,0.42494964599609375,0.3237142860889435,-3.465128174938089,0.0940609723329544,0.8488395810127258,82.50228881835938,2.688717842102051,-1.2778774499893188,21.357406616210938
